CCAA;Total_viajeros;Población;Ratio
Andalucía;118759;8464411;0,014030391
Aragón;72416;1329391;0,054473063
Asturias;19242;1018784;0,018887222
Canarias;42420;2175952;0,019494915
Castilla y León;36958;2394918;0,015431844
Castilla - La Mancha;10874;2045221;0,005316785
Cataluña;169254;7780479;0,021753674
Comunitat Valenciana;82454;5057353;0,016303786
Extremadura;6229;1063987;0,005854395
Galicia;37233;2701819;0,013780716
Madrid;281619;6779888;0,041537412
Murcia;10000;1511251;0,006617034
País Vasco;53886;2220504;0,024267464
